Customer Identity,First Policys Year,Brithday Year,Educational Degree,Gross Monthly Salary,Geographic Living Area,Has Children (Y=1),Claims Rate
59,1978,1956,2 - High School,2920,2,1,0.41
60,1997,1984,2 - High School,2195,3,1,0.81
61,1983,1943,3 - BSc/MSc,,4,1,0.68
62,1993,1978,2 - High School,1823,1,1,0.68
63,1981,1957,3 - BSc/MSc,3762,3,1,1.08
64,1987,1967,2 - High School,3259,4,1,0.61
65,1982,1973,3 - BSc/MSc,2294,3,0,1.19
66,1998,1941,3 - BSc/MSc,3760,1,0,0.78
67,1984,1968,3 - BSc/MSc,2544,3,1,1
68,1989,1984,2 - High School,1866,1,1,1.06
69,1983,1977,2 - High School,1399,4,1,0.33
70,1989,1984,3 - BSc/MSc,2119,4,1,0.36
71,1994,1952,2 - High School,3382,2,0,0.84
72,1985,1989,3 - BSc/MSc,1159,4,1,0.72
73,1990,1951,3 - BSc/MSc,3206,4,1,1
74,1993,1956,2 - High School,2336,1,1,0.63
75,1985,1980,2 - High School,1440,1,1,1
76,1996,1956,3 - BSc/MSc,2934,4,1,0.66
77,1996,1949,3 - BSc/MSc,4196,4,0,0.2
78,1984,1962,2 - High School,3284,4,1,0.85
79,1978,1951,4 - PhD,3091,3,1,1.04
80,1978,1948,3 - BSc/MSc,3901,4,0,0.42
81,1980,1961,1 - Basic,2318,4,1,0.95
82,1986,1982,2 - High School,1431,3,1,0.46
83,1992,1962,2- High School,3234,2,1,0.35
84,1995,1985,3 -         BSc/MSc,1792,1,1,0.33
85,1997,1959,2 - High School,2656,3,1,1.03
86,1976,1968,3 - BSc/MSc,2479,3,0,0.61
87,1994,1988,3 - BSc/MSc,1631,4,1,0.99
88,1997,1970,3 - BSc/MSc,2423,2,1,1.03
89,1995,1983,3 - BSc/MSc,1779,3,1,1.21
90,1989,1943,3 - BSc/MSc,3860,4,0,1.05
91,1991,1984,3 - BSc/MSc,1416,3,1,0.4
92,1993,1939,1 - Basic,3903,3,0,0.64
93,1987,1953,3 - BSc/MSc,2976,1,1,1.06
94,1982,1979,3 - BSc/MSc,1986,4,1,0.44
95,1992,1984,4 - PhD,1270,2,1,0.71
96,1976,1986,3 - BSc/MSc,2668,4,1,1
97,1992,1964,3 - BSc/MSc,2831,4,1,1.12
98,1996,1938,2 - High School,3924,4,0,0.81
99,1988,1950,1 - Basic,3870,1,1,0.68
100,1984,1967,2 - High School,2805,1,1,0.94
